Year,Value
-O4K4ES3_goJFv8qOKv3,"{'2018': 383.4, '2019': 380.8, '2020': 398.5, '2021': 387.0, '2022': 380.7, 'Location': 'United States'}"
-O4K4EYXNtleOaH8Lbvr,"{'2018': 997.1, '2019': 1045.2, '2020': 999.8, '2021': 951.3, '2022': 812.3, 'Location': 'District of Columbia'}"
-O4K4EpJVIFcBFx4sKeU,"{'2018': 842.8, '2019': 824.0, '2020': 778.3, '2021': 820.8, '2022': 780.5, 'Location': 'New Mexico'}"
-O4K4EvlglELWzIZz9VU,"{'2018': 891.7, '2019': 865.0, '2020': 837.8, '2021': 759.1, '2022': 758.9, 'Location': 'Alaska'}"
-O4K4F1FYXoWkCdWtST7,"{'2018': 561.6, '2019': 580.8, '2020': 671.9, '2021': 702.4, '2022': 645.3, 'Location': 'Arkansas'}"
-O4K4F7g192c7XnASEYU,"{'2018': 543.3, '2019': 559.7, '2020': 639.4, '2021': 662.7, '2022': 628.6, 'Location': 'Louisiana'}"
-O4K4FE3gOI-yuJY3CZV,"{'2018': 630.4, '2019': 598.9, '2020': 672.7, '2021': 671.8, '2022': 621.6, 'Location': 'Tennessee'}"
-O4K4FKNqkaCa8NrYxvh,"{'2018': 447.5, '2019': 442.1, '2020': 442.0, '2021': 481.2, '2022': 499.5, 'Location': 'California'}"
-O4K4FQrjViSuiIN9AWh,"{'2018': 401.5, '2019': 384.6, '2020': 423.1, '2021': 480.4, '2022': 492.5, 'Location': 'Colorado'}"
-O4K4FXICsJXPTMBUrYu,"{'2018': 500.8, '2019': 510.1, '2020': 530.7, '2021': 513.8, '2022': 491.3, 'Location': 'South Carolina'}"
-O4K4FcpRLJZf5sq4iSx,"{'2018': 501.4, '2019': 499.6, '2020': 542.7, '2021': 524.3, '2022': 488.0, 'Location': 'Missouri'}"
-O4K4FjEHssHXSlo8DgS,"{'2018': 452.5, '2019': 438.6, '2020': 478.0, '2021': 491.1, '2022': 461.0, 'Location': 'Michigan'}"
-O4K4Fpt3VmQDkQ8J8PZ,"{'2018': 552.1, '2019': 496.1, '2020': 460.3, '2021': 432.0, '2022': 454.0, 'Location': 'Nevada'}"
-O4K4FwNesyjkuCyEenQ,"{'2018': 412.9, '2019': 421.8, '2020': 446.5, '2021': 453.0, '2022': 431.9, 'Location': 'Texas'}"
-O4K4G1piQZR-kPm3GD_,"{'2018': 475.7, '2019': 447.1, '2020': 484.8, '2021': 425.6, '2022': 431.5, 'Location': 'Arizona'}"
-O4K4G8G5vBWQmPZPqJK,"{'2018': 350.8, '2019': 361.0, '2020': 363.8, '2021': 308.3, '2022': 429.3, 'Location': 'New York'}"
-O4K4GEfl3C_QPGHSolC,"{'2018': 474.6, '2019': 436.3, '2020': 458.6, '2021': 438.0, '2022': 419.7, 'Location': 'Oklahoma'}"
-O4K4GL25xliNbdZ3P6K,"{'2018': 380.9, '2019': 417.9, '2020': 469.8, '2021': 469.8, '2022': 417.9, 'Location': 'Montana'}"
-O4K4GRWCGX67h5QSemm,"{'2018': 441.8, '2019': 405.5, '2020': 425.0, '2021': 444.9, '2022': 414.6, 'Location': 'Kansas'}"
-O4K4GYcWZdnqhQ0NQ-b,"{'2018': 523.1, '2019': 504.7, '2020': 453.6, '2021': 348.3, '2022': 409.1, 'Location': 'Alabama'}"
-O4K4Ge61Vu4wdiophxQ,"{'2018': 356.2, '2019': 378.7, '2020': 419.3, '2021': 419.5, '2022': 405.1, 'Location': 'North Carolina'}"
-O4K4GkSmzvcvUZ0Tily,"{'2018': 469.4, '2019': 454.4, '2020': 399.9, '2021': 435.1, '2022': 398.5, 'Location': 'Maryland'}"
-O4K4GqotJhY6FJt-Cwn,"{'2018': 422.5, '2019': 422.7, '2020': 431.9, '2021': 419.2, '2022': 383.5, 'Location': 'Delaware'}"
-O4K4Gx9O7GgOa0dBRFc,"{'2018': 396.4, '2019': 397.1, '2020': 501.4, '2021': 391.8, '2022': 377.4, 'Location': 'South Dakota'}"
-O4K4H2_VVQiDSflQdQp,"{'2018': 315.3, '2019': 303.3, '2020': 293.7, '2021': 335.7, '2022': 375.6, 'Location': 'Washington'}"
-O4K4H8xFeWq8ZsTWcsz,"{'2018': 338.9, '2019': 326.2, '2020': 400.1, '2021': 349.8, '2022': 367.0, 'Location': 'Georgia'}"
-O4K4HFQkZZtwntJnbB3,"{'2018': 290.4, '2019': 293.7, '2020': 291.9, '2021': 341.3, '2022': 342.4, 'Location': 'Oregon'}"
-O4K4HLr0icC3kq0buC9,"{'2018': 340.3, '2019': 328.7, '2020': 308.8, '2021': 301.1, '2022': 322.0, 'Location': 'Massachusetts'}"
-O4K4HSLlVo2JgzPOFU1,"{'2018': 373.5, '2019': 371.5, '2020': 357.7, '2021': 332.6, '2022': 306.2, 'Location': 'Indiana'}"
-O4K4HYoVhv8VvyTHjHT,"{'2018': 299.0, '2019': 297.1, '2020': 323.4, '2021': 325.4, '2022': 297.0, 'Location': 'Wisconsin'}"
-O4K4HeFWZQNK5mXEkEH,"{'2018': 294.8, '2019': 296.0, '2020': 308.8, '2021': 317.4, '2022': 293.6, 'Location': 'Ohio'}"
-O4K4HkcCdp2s2mV2CMi,"{'2018': 411.4, '2019': 415.3, '2020': 425.9, '2021': 344.8, '2022': 287.3, 'Location': 'Illinois'}"
-O4K4Hr6JyH_6G9apzc5,"{'2018': 263.7, '2019': 287.6, '2020': 303.5, '2021': 295.0, '2022': 286.5, 'Location': 'Iowa'}"
-O4K4HxyBhZzuOe_56ku,"{'2018': 289.9, '2019': 304.6, '2020': 334.1, '2021': 297.0, '2022': 282.8, 'Location': 'Nebraska'}"
-O4K4I3XhTskfKUzxP-A,"{'2018': 221.2, '2019': 237.5, '2020': 277.5, '2021': 308.9, '2022': 280.6, 'Location': 'Minnesota'}"
-O4K4I9waW2JVoKUxGgH,"{'2018': 305.4, '2019': 306.0, '2020': 389.5, '2021': 281.8, '2022': 279.9, 'Location': 'Pennsylvania'}"
-O4K4IGPWG4-6kDaJOUb,"{'2018': 284.1, '2019': 301.4, '2020': 329.0, '2021': 276.4, '2022': 279.6, 'Location': 'North Dakota'}"
-O4K4IMpVP8drXPygr2T,"{'2018': 299.9, '2019': 318.9, '2020': 355.9, '2021': 291.5, '2022': 277.9, 'Location': 'West Virginia'}"
-O4K4IT8LSf4rrOUKKcY,"{'2018': 255.0, '2019': 264.5, '2020': 254.2, '2021': 274.0, '2022': 259.6, 'Location': 'Hawaii'}"
-O4K4IZ_R3KW10c7XTGa,"{'2018': 385.9, '2019': 378.2, '2020': 383.6, '2021': 337.3, '2022': 258.9, 'Location': 'Florida'}"
-O4K4Iez3I3jmlouldef,"{'2018': 266.0, '2019': 261.2, '2020': 291.2, '2021': 255.4, '2022': 245.0, 'Location': 'Mississippi'}"
-O4K4IlPTxfFuka8GE2F,"{'2018': 239.4, '2019': 236.9, '2020': 260.7, '2021': 259.1, '2022': 241.8, 'Location': 'Utah'}"
-O4K4Irp-dOcAD9h3HhA,"{'2018': 239.7, '2019': 232.6, '2020': 242.6, '2021': 240.8, '2022': 241.4, 'Location': 'Idaho'}"
-O4K4IyE0zaoGFx8DaZO,"{'2018': 204.2, '2019': 209.4, '2020': 208.7, '2021': 225.5, '2022': 234.0, 'Location': 'Virginia'}"
-O4K4J3cT6KUmQR8bjNs,"{'2018': 185.0, '2019': 207.2, '2020': 173.4, '2021': 194.0, '2022': 221.9, 'Location': 'Vermont'}"
-O4K4JA61trK9Ww72sD8,"{'2018': 217.9, '2019': 220.7, '2020': 259.1, '2021': 269.0, '2022': 214.1, 'Location': 'Kentucky'}"
-O4K4JGd1V3HGRwWfa3z,"{'2018': 208.6, '2019': 206.7, '2020': 195.4, '2021': 183.5, '2022': 202.9, 'Location': 'New Jersey'}"
-O4K4JNV-5FnfOpZL3vx,"{'2018': 213.8, '2019': 215.0, '2020': 234.2, '2021': 223.8, '2022': 201.9, 'Location': 'Wyoming'}"
-O4K4JUDvLURaDlxVvhi,"{'2018': 219.8, '2019': 222.7, '2020': 230.8, '2021': 200.5, '2022': 172.3, 'Location': 'Rhode Island'}"
-O4K4JaQTUyft7u09hKI,"{'2018': 209.6, '2019': 184.6, '2020': 181.6, '2021': 168.6, '2022': 150.0, 'Location': 'Connecticut'}"
-O4K4JhCfRuYNyFf6-t0,"{'2018': 177.6, '2019': 158.1, '2020': 146.4, '2021': 129.7, '2022': 125.6, 'Location': 'New Hampshire'}"
-O4K4Jo38xtHaHEqikjg,"{'2018': 112.0, '2019': 116.1, '2020': 108.6, '2021': 112.9, '2022': 103.3, 'Location': 'Maine'}"
2023,
